t ω_g β v_dc err_v i_f_ref_d v_w m_m_ref
25.7 1.66828 0 5405.54 -5.53837 711.405 10.8053 -784231
25.8 1.66552 0 5400.76 -0.760055 714.824 9.00183 -787076
25.9 1.66768 0 5397.94 2.06246 712.24 10.5448 -784471
26 1.67192 0 5402.51 -2.51116 714.904 11.1948 -786513
26.1 1.67608 0 5403.25 -3.24685 720.544 11.1949 -790515
26.2 1.67554 0 5402.17 -2.16905 724.976 9.75296 -794459
26.3 1.67691 0 5399.24 0.75982 724.826 10.3455 -793946
26.4 1.68265 0 5401.86 -1.86228 727.127 11.7214 -795241
26.5 1.68024 0 5403.47 -3.47329 732.811 9.17863 -800697
26.6 1.6789 0 5397.3 2.69551 730.485 9.51882 -798400
26.7 1.67355 0 5398.61 1.39496 727.377 8.12976 -797132
26.8 1.67758 0 5397.13 2.86682 722.746 11.1608 -792055
26.9 1.68094 0 5404 -4.00151 727.169 10.9726 -795874
27 1.67679 0 5401.19 -1.18758 730.539 8.58303 -799064
27.1 1.67673 0 5396.59 3.4127 726.234 9.90555 -795131
27.2 1.6732 0 5400.04 -0.0356905 724.837 8.77923 -795069
27.3 1.67807 0 5398.33 1.66895 722.501 11.4236 -791727
27.4 1.6793 0 5404 -3.99955 727.428 10.3134 -796345
27.5 1.68161 0 5400.53 -0.534844 729.878 10.6564 -797507
27.6 1.6838 0 5401.7 -1.69915 732.499 10.6285 -799705
27.7 1.68541 0 5401.47 -1.4708 735.292 10.4618 -801786
27.8 1.6884 0 5401.25 -1.25038 737.677 10.8965 -803326
27.9 1.6886 0 5401.89 -1.89455 740.877 10.0411 -806175
28 1.68299 0 5398.89 1.1066 740.121 8.07456 -806365
28.1 1.68326 0 5396.09 3.91144 734.14 10.0372 -801020
28.2 1.68486 0 5401.23 -1.22969 734.214 10.4559 -801272
28.3 1.6897 0 5401.83 -1.82716 737.31 11.4773 -802800
28.4 1.6857 0 5402.53 -2.52531 741.643 8.66862 -807419
28.5 1.68168 0 5395.92 4.07789 736.968 8.64877 -803597
28.6 1.68425 0 5398.13 1.87083 732.603 10.7458 -799776
28.7 1.68159 0 5402.02 -2.01915 734.655 9.10494 -802216
28.8 1.68105 0 5397.7 2.30277 732.266 9.77672 -799686
28.9 1.67884 0 5399.63 0.371118 730.767 9.24011 -799169
29 1.67643 0 5398.23 1.76527 728.122 9.16282 -797073
29.1 1.67631 0 5398.6 1.39787 725.404 9.88939 -794783
